name,element,image_path
愚人,air,https://i.pinimg.com/736x/4b/3a/31/4b3a311542132e562d13abcce6a19341.jpg
魔術師,air,https://i.pinimg.com/236x/41/58/f5/4158f5098535c1d9a31bc66f3f985bfa.jpg
女祭司,water,https://i.pinimg.com/236x/60/53/ee/6053eee64884466e426a55aff8cad452.jpg
皇后,earth,https://i.pinimg.com/236x/11/bd/b9/11bdb9eb776c33f414de198cf2fb5cb8.jpg
國王,fire,https://i.pinimg.com/236x/55/5a/09/555a0941d58f0e0f12952a4feb346fd0.jpg
教皇,earth,https://i.pinimg.com/236x/26/19/69/26196909e9a1220d700e7eea3a977f7d.jpg
戀人,air,https://i.pinimg.com/236x/6a/7c/4c/6a7c4c70b0cbc32c4b677182e6d07066.jpg
戰車,water,https://i.pinimg.com/236x/4d/3a/1f/4d3a1f45df11039290504d175c7b2548.jpg
力量,fire,https://i.pinimg.com/236x/bd/6e/c6/bd6ec6097a20ded7532de8e1578b7dde.jpg
隱者,earth,https://i.pinimg.com/236x/c1/e0/67/c1e067707b53d82608f8b73d14a2bf1d.jpg
命運之輪,fire,https://i.pinimg.com/236x/fe/d5/45/fed5459bd2e45c94b1e06823383e3041.jpg
正義,air,https://i.pinimg.com/236x/77/db/f3/77dbf31cf9e0948dce422afbebe6ad5f.jpg
倒吊人,water,https://i.pinimg.com/236x/98/9c/e5/989ce5c2cb44732d62f0f890779e05be.jpg
死神,water,https://i.pinimg.com/236x/c7/90/0b/c7900b6bea9c5da09364eae779f844ec.jpg
節制,fire,https://i.pinimg.com/236x/6f/39/0f/6f390fe70349c4947b08b88530009079.jpg
惡魔,earth,https://i.pinimg.com/236x/5c/ac/a5/5caca56f6957cd4be0c362b028ee5a19.jpg
塔,fire,https://i.pinimg.com/236x/24/81/e0/2481e054b8c1b0b734db690b5a61a61a.jpg
星星,air,https://i.pinimg.com/236x/11/c6/1e/11c61eb2cee608223453c054b73c27fd.jpg
月亮,water,https://i.pinimg.com/236x/0b/02/8f/0b028f695c327768c3c1a21b5b9aa8fc.jpg
太陽,fire,https://i.pinimg.com/236x/77/26/b3/7726b3c63d4519255cb4e879b9c58d23.jpg
審判,fire,https://i.pinimg.com/236x/68/48/34/68483447fce702f5022462b195ef7a7b.jpg
世界,earth,https://i.pinimg.com/236x/ac/4b/50/ac4b50c56139776d7438edeb3cbb404f.jpg
權杖一,fire,https://i.pinimg.com/236x/e5/8a/45/e58a4523e99d31e74d09d57fea6ca33e.jpg
權杖二,fire,https://i.pinimg.com/236x/de/69/45/de6945713e03c32e5c752f2f48322785.jpg
權杖三,fire,https://i.pinimg.com/236x/92/cb/b4/92cbb4280725f1785d048bd0400db00f.jpg
權杖四,fire,https://i.pinimg.com/236x/ed/91/67/ed91674e2d27a7b480d59c5a659de762.jpg
權杖五,fire,https://i.pinimg.com/236x/fb/29/be/fb29be0475dcb8a086baa032d183fbe1.jpg
權杖六,fire,https://i.pinimg.com/236x/c7/75/00/c7750031caf0e2a71be781c949fddb66.jpg
權杖七,fire,https://i.pinimg.com/236x/ba/bc/61/babc61be0d2c612ec3663001b1ffd8ef.jpg
權杖八,fire,https://i.pinimg.com/236x/02/14/c9/0214c9acefed882e5c1ea27f3df01fb9.jpg
權杖九,fire,https://i.pinimg.com/236x/0d/2d/0b/0d2d0b524b3022fcc2f393c9fa3d1db9.jpg
權杖十,fire,https://i.pinimg.com/236x/bf/e8/0c/bfe80ca3b4e8e2ad0e75bdddcb36c0f4.jpg
權杖侍者,fire,https://i.pinimg.com/236x/0b/7d/71/0b7d719b01082eb1855ab9a5889cf4f2.jpg
權杖騎士,fire,https://i.pinimg.com/236x/b5/82/46/b58246d5f19c47439e08769aacef703d.jpg
權杖皇后,fire,https://i.pinimg.com/236x/67/99/bf/6799bf08446ab3698b25605429b32691.jpg
權杖國王,fire,https://i.pinimg.com/236x/00/bc/b3/00bcb3134d6d15969c66978161a96313.jpg
聖杯一,water,https://i.pinimg.com/236x/0a/55/90/0a559087b1ba992d9e049296cc2bab7a.jpg
聖杯二,water,https://i.pinimg.com/236x/a3/a5/3e/a3a53e78d22470e0b3a224c1ab9fca26.jpg
聖杯三,water,https://i.pinimg.com/236x/bf/94/11/bf9411f7c4fc328acb9967b3a4d473fa.jpg
聖杯四,water,https://i.pinimg.com/236x/68/3f/d2/683fd22331496399c85caeb3c8faa1ff.jpg
聖杯五,water,https://i.pinimg.com/236x/90/78/d1/9078d17d12dd9550d4a6107b87a5cf6c.jpg
聖杯六,water,https://i.pinimg.com/236x/0f/47/a8/0f47a86665909aae23da4ba545acb684.jpg
聖杯七,water,https://i.pinimg.com/236x/d3/cf/a7/d3cfa768d9e915156c12bfbb84e6c505.jpg
聖杯八,water,https://i.pinimg.com/236x/06/66/82/0666828e37083e86cafff4bedccda614.jpg
聖杯九,water,https://i.pinimg.com/236x/26/cb/5a/26cb5a22281668ec191ec81529814fb9.jpg
聖杯十,water,https://i.pinimg.com/236x/c8/76/b2/c876b236c535d68a3a131048863dc133.jpg
聖杯侍者,water,https://i.pinimg.com/236x/05/d1/01/05d101abe1b10d42a9f5cc2d22ea41f2.jpg
聖杯騎士,water,https://i.pinimg.com/236x/38/eb/12/38eb12ea77f67ce5861142ed6c49f313.jpg
聖杯皇后,water,https://i.pinimg.com/236x/c2/c8/34/c2c8349219cdc72f2bddc0fc221111ec.jpg
聖杯國王,water,https://i.pinimg.com/236x/ca/93/ad/ca93ad4ff86f2dcc8f1f7989810f4b87.jpg
寶劍一,air,https://i.pinimg.com/236x/d4/a3/ae/d4a3aef4f8f246a89555182aa3cb6965.jpg
寶劍二,air,https://i.pinimg.com/236x/df/12/e8/df12e8b100c7d9ad16660a200954a924.jpg
